jahr;nationalitaet;bevoelkerung_gesamt
1984;Deutsch;56643793
1984;Gesamt;61049256
1984;Nichtdeutsch;4405463
1985;Deutsch;56538856
1985;Gesamt;61020474
1985;Nichtdeutsch;4481618
1986;Deutsch;56478581
1986;Gesamt;61140461
1986;Nichtdeutsch;4661880
1987;Deutsch;56951607
1987;Gesamt;61238079
1987;Nichtdeutsch;4286472
1988;Deutsch;57091575
1988;Gesamt;61715103
1988;Nichtdeutsch;4623528
1989;Deutsch;57671874
1989;Gesamt;62679035
1989;Nichtdeutsch;5007161
1990;Deutsch;74170870
1990;Gesamt;79753227
1990;Nichtdeutsch;5582357
1991;Deutsch;74207834
1991;Gesamt;80274564
1991;Nichtdeutsch;6066730
1992;Deutsch;74305064
1992;Gesamt;80974632
1992;Nichtdeutsch;6669568
1993;Deutsch;74360618
1993;Gesamt;81338093
1993;Nichtdeutsch;6977475
1994;Deutsch;74420863
1994;Gesamt;81538603
1994;Nichtdeutsch;7117740
1995;Deutsch;74474720
1995;Gesamt;81817499
1995;Nichtdeutsch;7342779
1996;Deutsch;74520512
1996;Gesamt;82012162
1996;Nichtdeutsch;7491650
1997;Deutsch;74638378
1997;Gesamt;82057379
1997;Nichtdeutsch;7419001
1998;Deutsch;74728534
1998;Gesamt;82037011
1998;Nichtdeutsch;7308477
1999;Deutsch;74827364
1999;Gesamt;82163475
1999;Nichtdeutsch;7336111
2000;Deutsch;74991972
2000;Gesamt;82259540
2000;Nichtdeutsch;7267568
2001;Deutsch;75122046
2001;Gesamt;82440309
2001;Nichtdeutsch;7318263
2002;Deutsch;75188729
2002;Gesamt;82536680
2002;Nichtdeutsch;7347951
2003;Deutsch;75189851
2003;Gesamt;82531671
2003;Nichtdeutsch;7341820
2004;Deutsch;75212869
2004;Gesamt;82500849
2004;Nichtdeutsch;7287980
2005;Deutsch;75148846
2005;Gesamt;82437995
2005;Nichtdeutsch;7289149
2006;Deutsch;75058957
2006;Gesamt;82314906
2006;Nichtdeutsch;7255949
2007;Deutsch;74962442
2007;Gesamt;82217837
2007;Nichtdeutsch;7255395
2008;Deutsch;74816435
2008;Gesamt;82002356
2008;Nichtdeutsch;7185921
2009;Deutsch;74671338
2009;Gesamt;81802257
2009;Nichtdeutsch;7130919
2010;Deutsch;74552656
2010;Gesamt;81751602
2010;Nichtdeutsch;7198946
2011;Deutsch;73985506
2011;Gesamt;80327900
2011;Nichtdeutsch;6342394
2012;Deutsch;73880047
2012;Gesamt;80523746
2012;Nichtdeutsch;6643699
2013;Deutsch;73752227
2013;Gesamt;80767463
2013;Nichtdeutsch;7015236
2014;Deutsch;73657763
2014;Gesamt;81197537
2014;Nichtdeutsch;7539774
2015;Deutsch;73523726
2015;Gesamt;82175684
2015;Nichtdeutsch;8651958
2016;Deutsch;73301664
2016;Gesamt;82521653
2016;Nichtdeutsch;9219989
2017;Deutsch;73113483
2017;Gesamt;82792351
2017;Nichtdeutsch;9678868
2018;Deutsch;72929921
2018;Gesamt;83019213
2018;Nichtdeutsch;10089292
2019;Deutsch;72768689
2019;Gesamt;83166711
2019;Nichtdeutsch;10398022
2020;Deutsch;72569978
2020;Gesamt;83155031
2020;Nichtdeutsch;10585053
2021;Deutsch;72344071
2021;Gesamt;83237124
2021;Nichtdeutsch;10893053
2022;Deutsch;71623366
2022;Gesamt;83118501
2022;Nichtdeutsch;11495135
2023;Deutsch;71347057
2023;Gesamt;83456045
2023;Nichtdeutsch;12108988
2024;Deutsch;71184865
2024;Gesamt;83577140
2024;Nichtdeutsch;12392275
